"Sample","CellID","Pre.Count","Pre.Percentage","Post.Count","Post.Percentage","post.pre"
"ctrl2_re","PTEN#15",13623,"7,26",45320,"22,93","3,16"
"ctrl2_re","PTEN#16",7845,"4,18",15125,"7,65","1,83"
"ctrl2_re","PTEN#17",6959,"3,71",25254,"12,78","3,44"
"ctrl2_re","Hom#25",3661,"1,95",614,"0,31","0,16"
"ctrl2_re","Hom#26",4356,"2,32",3394,"1,72","0,74"
"ctrl2_re","Hom#27",873,"0,47",571,"0,29","0,62"
"ctrl2_re","V654A#29",10677,"5,69",650,"0,33","0,06"
"ctrl2_re","V654A#30",4227,"2,25",787,"0,40","0,18"
"ctrl2_re","V654A#39",4039,"2,15",474,"0,24","0,11"
"ctrl2_re","D816E#24",5815,"3,10",474,"0,24","0,08"
"ctrl2_re","D816E#34",4318,"2,30",173,"0,09","0,04"
"ctrl2_re","D816E#36",24093,"12,84",2125,"1,08","0,08"
"ctrl2_re","D816A#10",10735,"5,72",10370,"5,25","0,92"
"ctrl2_re","D816A#11",3502,"1,87",1830,"0,93","0,50"
"ctrl2_re","D816A#13",15705,"8,37",697,"0,35","0,04"
"ctrl2_re","A829P#21",2029,"1,08",145,"0,07","0,07"
"ctrl2_re","A829P#22",11590,"6,18",205,"0,10","0,02"
"ctrl2_re","A829P#28",6360,"3,39",95,"0,05","0,01"
"im-tram3_li","T1parental#4",1533,"0,82",1888,"1,10","1,35"
"im-tram3_li","T1parental#6",10903,"5,81",12711,"7,41","1,28"
"im-tram3_li","T1parental#9",12735,"6,79",14471,"8,44","1,24"
"im-tram3_li","TSC2#18",7320,"3,90",7575,"4,42","1,13"
"im-tram3_li","TSC2#19",3,"0,00",6,"0,00","2,19"
"im-tram3_li","TSC2#20",14729,"7,85",27337,"15,94","2,03"
"im-tram3_li","PTEN#15",13623,"7,26",27384,"15,97","2,20"
"im-tram3_li","PTEN#16",7845,"4,18",9237,"5,39","1,29"
"im-tram3_li","PTEN#17",6959,"3,71",16204,"9,45","2,55"
"im-tram3_li","Hom#25",3661,"1,95",1265,"0,74","0,38"
"im-tram3_li","Hom#26",4356,"2,32",2409,"1,40","0,61"
