Sample,CellID,Counts Pre-Pool ,Pre-Percentage,Counts Post-Sample,Post-Percentage,post/pre
IM100Tram100,V654A#39,2005,15.912.824.704.957.900,4491,221.108.447.022.101,13.894.984.147.799.300
IM100Tram100,D816E#24,3019,23.960.507.623.076.300,5812,2.861.461.354.024.600,11.942.407.060.143.900
IM100Tram100,D816E#34,2180,17.301.724.616.862.000,4019,19.787.015.109.815.700,11.436.440.902.851.700
IM100Tram100,D816E#36,18389,1.459.456.027.428.780,37473,184.493.360.838.548,12.641.241.488.007.000
IM100Tram100,D816A#10,4592,36.444.733.688.362.600,4818,2.372.078.596.643.240,0.65087005901231
IM100Tram100,D816A#11,4485,3.559.552.059.936.980,3727,1.834.939.171.791.070,0.515497214507254
IM100Tram100,D816A#13,4501,35.722.505.734.172.400,5617,2.765.455.682.304.920,0.774149412385554
IM100Tram100,A829P#21,948,0.752386923705744,1709,0.841403553686864,1.118.312.303.385.980
IM100Tram100,A829P#22,6631,5.262.740.180.477.620,17847,878.673.447.785.223,1.669.612.060.737.290
IM100Tram100,A829P#28,2032,1.612.711.211.993.740,3147,15.493.838.405.222.700,0.960732354930933
IM100Tram300,T1parental#4,899,0.71349772617243,624,0.294797114389784,0.413171764360383
IM100Tram300,T1parental#6,9520,7.555.615.520.758.100,4889,2.309.716.493.993.030,0.305695345090996
IM100Tram300,T1parental#9,12233,9.708.807.212.755.650,5700,26.928.582.564.451.400,0.277362419237989
IM100Tram300,TSC2#18,8408,6.673.068.833.879.630,20349,9.613.503.975.509.160,1.440.642.111.572.520
IM100Tram300,TSC2#19,1,0.000793657092516607,6,0.00283458763836331,35.715.520.784.613.800
IM100Tram300,TSC2#20,13886,11.020.722.386.685.600,38156,18.026.087.654.898.400,16.356.539.092.824.000
IM100Tram300,PTEN#15,8003,6.351.637.711.410.400,11135,5.260.522.225.529.240,0.828215094207745
IM100Tram300,PTEN#16,6551,5.199.247.613.076.290,8460,39.967.685.700.922.600,0.768720566422005
IM100Tram300,PTEN#17,4211,3.342.090.016.587.430,5266,24.878.230.839.368.600,0.744391405255191
IM100Tram300,Hom#25,110,0.0873022801768268,26,0.0122832130995743,0.140697506121206
IM100Tram300,Hom#26,2416,19.174.755.355.201.200,1175,0.555106745846148,0.289498737044159
IM100Tram300,Hom#27,25,0.0198414273129152,31,0.0146453694648771,0.73812076288202
IM100Tram300,V654A#29,6680,53.016.293.780.109.300,15209,7.185.207.231.977.920,1.355.282.823.386.200
IM100Tram300,V654A#30,4274,33.920.904.134.159.700,9242,4.366.209.825.625.610,12.871.737.758.984.600
IM100Tram300,V654A#39,2005,15.912.824.704.957.900,4265,20.149.193.796.032.500,12.662.235.756.141.100
IM100Tram300,D816E#24,3019,23.960.507.623.076.300,5998,2.833.642.775.817.180,11.826.305.270.294.400
IM100Tram300,D816E#34,2180,17.301.724.616.862.000,4067,1.921.377.987.537.260,11.105.124.084.940.700
IM100Tram300,D816E#36,18389,1.459.456.027.428.780,37378,17.658.536.124.457.200,12.099.395.797.191.200
IM100Tram300,D816A#10,4592,36.444.733.688.362.600,5213,2.462.784.226.464.650,0.675758601372648
IM100Tram300,D816A#11,4485,3.559.552.059.936.980,3379,15.963.452.716.716.000,0.448468022040915
IM100Tram300,D816A#13,4501,35.722.505.734.172.400,6248,2.951.750.594.082.320,0.826299984678469
IM100Tram300,A829P#21,948,0.752386923705744,1801,0.850848722782053,11.308.659.095.128.200
IM100Tram300,A829P#22,6631,5.262.740.180.477.620,19874,9.389.099.120.805.400,17.840.704.269.678.100
IM100Tram300,A829P#28,2032,1.612.711.211.993.740,3180,15.023.314.483.325.500,0.931556398417586
IM100Tram1000,T1parental#4,899,0.71349772617243,667,0.331043656071946,0.463972965755385
IM100Tram1000,T1parental#6,9520,7.555.615.520.758.100,5066,25.143.435.707.053.600,0.332778125593808
IM100Tram1000,T1parental#9,12233,9.708.807.212.755.650,6129,304.192.888.765.361,0.313316437436007
IM100Tram1000,TSC2#18,8408,6.673.068.833.879.630,19364,9.610.688.689.920.780,14.402.202.238.835.900
IM100Tram1000,TSC2#19,1,0.000793657092516607,8,0.00397053860356157,5.002.838.935.101.540
IM100Tram1000,TSC2#20,13886,11.020.722.386.685.600,36547,181.389.092.930.456,16.458.911.364.067.700
IM100Tram1000,PTEN#15,8003,6.351.637.711.410.400,11086,550.217.386.988.545,0.86626065904248
IM100Tram1000,PTEN#16,6551,5.199.247.613.076.290,8288,411.347.799.328.979,0.791167934172676
IM100Tram1000,PTEN#17,4211,3.342.090.016.587.430,5490,27.247.821.166.941.200,0.815292856616822
IM100Tram1000,Hom#25,110,0.0873022801768268,31,0.0153858370888011,0.176236371577441
IM100Tram1000,Hom#26,2416,19.174.755.355.201.200,1227,0.608981358321256,0.317595373208278
IM100Tram1000,Hom#27,25,0.0198414273129152,29,0.0143932024379107,0.725411645589724
IM100Tram1000,V654A#29,6680,53.016.293.780.109.300,14598,7.245.240.316.848.980,13.666.063.393.452.900
IM100Tram1000,V654A#30,4274,33.920.904.134.159.700,8777,4.356.177.165.432.490,1.284.216.112.932.440
IM100Tram1000,V654A#39,2005,15.912.824.704.957.900,4222,209.545.174.802.962,1.316.832.043.890.190
IM100Tram1000,D816E#24,3019,23.960.507.623.076.300,5158,2.560.004.764.646.320,10.684.267.649.575.000
IM100Tram1000,D816E#34,2180,17.301.724.616.862.000,3465,17.197.395.326.676.000,0.993970006314613
IM100Tram1000,D816E#36,18389,1.459.456.027.428.780,35353,17.546.306.406.464.000,12.022.497.476.252.400
IM100Tram1000,D816A#10,4592,36.444.733.688.362.600,4814,23.892.716.046.931.700,0.655587615243327
IM100Tram1000,D816A#11,4485,3.559.552.059.936.980,2926,14.522.244.942.526.400,0.407979563102205
IM100Tram1000,D816A#13,4501,35.722.505.734.172.400,5666,28.121.339.659.724.800,0.787216324324744
IM100Tram1000,A829P#21,948,0.752386923705744,1591,0.789640864783308,10.495.143.388.378.900
IM100Tram1000,A829P#22,6631,5.262.740.180.477.620,18115,8.990.788.350.439.730,17.083.853.738.004.100
IM100Tram1000,A829P#28,2032,1.612.711.211.993.740,2867,14.229.417.720.513.700,0.88232893866487
